datetime,low,high,open,close,volumefrom,volumeto
11/12/2017 15:00,472.82,478.4,474.37,476.99,10075.61,4786076.82
11/12/2017 16:00,475.09,479,476.99,478.82,7976.25,3807053.14
11/12/2017 17:00,475.8,483.98,478.82,482,10668.53,5103361.34
11/12/2017 18:00,475.03,487.33,482,478.06,12027.98,5798144.23
11/12/2017 19:00,475.02,481,478.06,476.9,2502.97,1197426.36
11/12/2017 20:00,472.76,478.11,476.9,475.99,14267.39,6780897.86
11/12/2017 21:00,475,479.44,475.99,478.49,8239.46,3933611.01
11/12/2017 22:00,473,484.89,478.49,481.85,19141.98,9149176.59
11/12/2017 23:00,481.85,519.49,481.85,518,79596.14,40157295.06
12/12/2017 00:00,501.11,525,518,512.91,55106.11,28170290.43
12/12/2017 01:00,506.23,518.85,512.91,506.8,24251.37,12430754.1
12/12/2017 02:00,504,538.2,506.8,533.98,57101.26,29685553.6
12/12/2017 03:00,511.21,547.51,533.98,526.61,68682.46,36453729.42
12/12/2017 04:00,520.7,538.95,526.61,533.09,28892.61,15369581.85
12/12/2017 05:00,529.01,541.98,533.09,533.41,16303.6,8720080.51
12/12/2017 06:00,533.41,533.41,533.41,533.41,0,0
12/12/2017 07:00,520,538.85,533.41,535.82,10624.98,5636220.65
12/12/2017 08:00,527.02,538.64,535.82,533.05,9107.95,4871866.34
12/12/2017 09:00,521.06,534.3,533.05,527.9,7303.23,3857478.66
12/12/2017 10:00,526.52,542,527.9,535.73,6060.79,3229239.09
12/12/2017 11:00,530.45,539.96,535.73,533,8362.02,4484704.64
12/12/2017 12:00,524.82,564.99,533,563.04,28015.08,15315861.32
12/12/2017 13:00,551.36,582.8,563.04,567.98,44020.4,24878416.1
12/12/2017 14:00,567.98,594.94,567.98,593.43,23154.15,13453068.97
12/12/2017 15:00,590,638.43,593.43,625.14,67697.36,42118771.58
12/12/2017 16:00,607.03,635,625.14,619.9,32912.43,20533029.88
12/12/2017 17:00,612,629.99,619.9,612,21417.45,13275928.34
12/12/2017 18:00,565,612.01,612,605.96,41541.66,24697359.42
12/12/2017 19:00,594.37,635,605.96,617.07,36094.1,22312741.99
12/12/2017 20:00,617,632,617.07,620.13,21999.02,13777515.79
12/12/2017 21:00,606.77,624.97,620.13,624.19,16562.19,10262107.19
12/12/2017 22:00,615.23,669.9,624.19,655.02,24120.99,15317613.37
12/12/2017 23:00,651.02,714,655.02,686.82,76151.13,51882141.39
13/12/2017 00:00,675,715,686.82,679.74,58043.54,40348442.89
13/12/2017 01:00,654.33,685.98,679.74,675,41215.21,27656240.02
13/12/2017 02:00,606,678,675,635.83,52584.34,33580356.45
13/12/2017 03:00,627.4,654,635.83,640.79,22515.27,14424899.78
13/12/2017 04:00,625.5,645.86,640.79,644.06,14763.79,9378409.14
13/12/2017 05:00,641.97,660,644.06,659.6,16141.56,10526864.1
13/12/2017 06:00,651,686,659.6,669.42,25224.32,16974758.63
13/12/2017 07:00,666.95,686.99,669.42,686.29,12023.87,8169918.76
13/12/2017 08:00,664.91,687,686.29,674.87,8726.11,5923088.3
13/12/2017 09:00,671.99,680,674.87,679.99,3977.4,2695781.39
13/12/2017 10:00,678,700,679.99,692.82,13482.58,9332287.66
13/12/2017 11:00,678.18,697.34,692.82,689.14,8857.14,6101873
13/12/2017 12:00,688.22,710,689.14,693.68,21786.97,15252983.87
13/12/2017 13:00,685.01,707,693.68,698.95,17972.94,12512178.51
13/12/2017 14:00,697.52,784.77,698.95,756.34,80249.11,59491228.13
13/12/2017 15:00,733.33,774.75,756.34,746.01,46180.78,34876030.16
13/12/2017 16:00,715,746.11,746.01,727.81,33286.76,24387083.34
13/12/2017 17:00,683.26,730,727.81,710.83,54328.36,38354686.83
13/12/2017 18:00,631,714.71,710.83,684.09,53405.35,35760276.18
13/12/2017 19:00,663.35,716.48,684.09,710,37688.66,26310397.6
13/12/2017 20:00,672.01,717.62,710,697.89,25286.48,17592691.36
13/12/2017 21:00,696.21,714.19,697.89,711.19,16994.63,11976958.36
13/12/2017 22:00,699.98,720,711.19,701.97,16778.59,11936068.67
13/12/2017 23:00,701,714,701.97,711.94,12389.55,8780381.09
14/12/2017 00:00,706.05,758,711.94,746.64,41496.52,30313077.03
